config,area,period,output,metric,value
G1_C1,de_lu,2024,point,rmse,2873.8141041938316
G1_C1,de_lu,2024,point,r2,0.9030808726273345
G1_C1,de_lu,2024,point,mae,1904.8187834335672
G1_C1,de_lu,2024,point,smape,3.6147949839074767
G1_C1,de_lu,2024,quantile,wis,1146.505598521489
G1_C1,de_lu,2024,quantile,lqs,573.2527992607445
G1_C1,de_lu,2024,quantile,mae_median,1882.4469611665459
G1_C1,de_lu,2024,quantile,cov50,50.74567395264117
G1_C1,de_lu,2024,quantile,cov95,95.76787340619308
G1_C1,de_lu,2024,ensemble,wis,1146.505598521489
G1_C1,de_lu,2024,ensemble,lqs,573.2527992607445
G1_C1,de_lu,2024,ensemble,mae_median,1882.4469611665459
G1_C1,de_lu,2024,ensemble,cov50,50.74567395264117
G1_C1,de_lu,2024,ensemble,cov95,95.76787340619308
G1_C1,de_lu,2024,ensemble,crps,1387.64585895735
G1_C1,de_lu,2024,ensemble,energy_score,15793.53381095821
G1_C1,de_lu,2025,point,rmse,2808.9041421597703
G1_C1,de_lu,2025,point,r2,0.9078763265449008
G1_C1,de_lu,2025,point,mae,1910.5442411109275
G1_C1,de_lu,2025,point,smape,3.5727984375759245
G1_C1,de_lu,2025,quantile,wis,1145.1845382287465
G1_C1,de_lu,2025,quantile,lqs,572.5922691143733
G1_C1,de_lu,2025,quantile,mae_median,1877.5307415998502
G1_C1,de_lu,2025,quantile,cov50,52.94235159817352
G1_C1,de_lu,2025,quantile,cov95,95.86187214611871
G1_C1,de_lu,2025,ensemble,wis,1145.1845382287465
G1_C1,de_lu,2025,ensemble,lqs,572.5922691143733
G1_C1,de_lu,2025,ensemble,mae_median,1877.5307415998502
G1_C1,de_lu,2025,ensemble,cov50,52.94235159817352
G1_C1,de_lu,2025,ensemble,cov95,95.86187214611871
G1_C1,de_lu,2025,ensemble,crps,1391.1350609072592
G1_C1,de_lu,2025,ensemble,energy_score,15960.287168704612
G1_C1,de_lu,2026H1,point,rmse,3514.4544670499736
G1_C1,de_lu,2026H1,point,r2,0.8707648238440386
G1_C1,de_lu,2026H1,point,mae,2314.1445641043633
G1_C1,de_lu,2026H1,point,smape,4.250020907768015
G1_C1,de_lu,2026H1,quantile,wis,1406.6582731001545
